NEWID,SIZE,SIZEAM,SIZEAF,SIZEJM,SIZEJF,SIZEIN,EXP,FDHO,FDAW,SHEL,TELE,DOM,TEXT,FURN,MAPP,SAPP,CLOT,FOOT,GASO,TRIP,LOCT,HEAL,ENT,FEES,TOYS,READ,EDUC,TOB,REFAGE,REFEDUC,REFRACE,HHTENURE,HHTYPE
641702,4,2,1,0,1,0,40517,6475,1096,6678,522,0,80,0,760,89,1045,45,615,0,0,495,2363,618,0,222,0,0,46,4,1,1,4
641732,4,1,1,1,1,0,33541,3146,980,7868,1201,131,161,967,210,95,1588,99,1753,201,0,834,2981,442,1061,200,110,0,29,3,1,1,3
641762,1,0,1,0,0,0,5182,1632,150,1553,687,0,0,0,0,0,327,43,0,305,72,277,53,0,0,0,0,0,71,3,2,4,8
641812,5,2,1,2,0,0,40385,2405,680,4410,3142,0,70,1265,725,86,901,196,1278,822,0,-999999,1986,736,130,399,0,910,36,3,1,4,5
641842,1,1,0,0,0,0,40302,2227,1637,597,743,525,0,0,468,0,731,86,1782,0,0,549,330,235,20,6,0,0,59,1,1,2,8
641882,2,1,1,0,0,0,23189,2470,475,2252,501,65,0,0,0,0,425,55,1110,1000,0,1738,240,32,0,47,1000,624,41,5,1,2,6
641892,1,0,1,0,0,0,13503,3510,305,2917,287,0,0,0,0,0,628,0,170,52,30,893,510,50,150,221,0,0,69,3,1,2,8
641922,2,0,2,0,0,0,5110,1662,0,918,528,0,0,0,0,0,0,0,0,0,0,820,261,0,0,0,0,169,88,1,2,4,9
641942,3,1,1,1,0,0,15754,2405,695,72,1542,0,0,0,0,0,1041,72,640,0,0,840,802,80,0,175,427,780,34,2,1,2,7
641952,2,2,0,0,0,0,40763,2483,5340,471,1043,0,0,115,0,0,456,85,827,0,0,2563,1437,0,19,0,0,1508,31,3,1,2,9
641972,3,1,2,0,0,0,23061,1770,3211,3869,905,60,0,0,0,0,619,3,2305,0,0,66,809,397,144,12,0,0,56,4,1,1,9
642022,4,1,1,1,0,1,30839,4160,528,12878,882,650,0,225,0,0,1053,120,620,0,0,211,1103,325,415,62,0,1053,41,4,1,1,3
642042,2,1,1,0,0,0,25206,3390,884,5100,588,63,35,0,10,244,1302,218,1448,0,0,3080,2675,1171,381,187,10,0,69,6,1,1,1
642052,3,0,1,1,1,0,15891,1430,591,4444,565,300,37,0,0,0,870,230,596,0,0,678,1179,0,243,147,0,416,45,3,2,4,9
642062,4,1,1,1,1,0,38821,2496,1037,16038,901,0,138,266,50,31,1919,361,1154,0,0,4432,565,80,123,36,110,0,42,4,1,1,3
642072,2,0,1,1,0,0,11766,2145,525,3484,670,168,17,41,0,22,439,114,1040,0,0,0,525,0,160,0,0,767,33,3,1,4,7
642122,1,0,1,0,0,0,4934,572,48,1277,149,78,74,0,0,0,223,3,918,0,0,603,138,0,16,0,0,0,63,1,1,4,8
642132,3,2,1,0,0,0,13754,3653,0,1243,365,40,0,0,0,20,332,174,1608,723,0,2540,20,20,0,165,0,0,85,2,1,2,4
642142,2,1,1,0,0,0,14142,1194,230,1636,537,0,0,0,0,0,210,0,860,0,5,366,1507,357,135,51,0,325,37,3,1,4,9
642152,2,1,1,0,0,0,27813,3692,385,1033,405,39,249,0,0,120,1024,32,2961,78,0,2649,5263,330,120,585,30,585,55,3,1,2,1
642182,2,1,1,0,0,0,21005,1638,201,10470,656,0,0,0,0,0,17,10,1320,0,66,1899,724,0,545,20,0,364,46,4,1,4,9
642192,1,1,0,0,0,0,11511,1677,965,885,229,10,10,0,0,0,323,40,827,54,0,543,440,70,0,29,0,0,67,3,1,2,8
642202,6,1,2,2,1,0,41750,4469,1325,10300,1721,3090,0,35,0,0,868,282,1232,0,240,485,1056,258,45,87,0,0,48,4,4,4,3
642212,4,2,2,0,0,0,32855,5265,802,2937,955,0,17,0,1065,0,2481,168,1616,1256,30,1314,3739,470,2110,399,0,1235,54,3,1,2,4
642222,2,1,1,0,0,0,62043,4012,2153,18275,869,1360,54,0,0,0,1701,282,2265,1069,0,242,1350,688,91,230,0,1560,53,6,1,1,1
642252,2,1,1,0,0,0,19415,1404,2255,5107,390,984,80,0,105,0,675,0,462,0,0,5257,336,226,0,125,0,0,77,4,1,2,1
642302,3,1,1,1,0,0,51815,4550,2384,10541,585,0,163,0,239,127,2135,161,1516,0,0,1892,3376,260,210,186,0,1521,36,6,1,1,3
642312,3,1,2,0,0,0,26961,4452,823,1227,500,0,83,41,120,45,600,124,3543,0,10,146,9620,149,25,91,0,1430,37,4,1,2,9
642342,2,1,1,0,0,0,19185,1339,754,6279,555,0,0,0,0,0,479,200,2714,166,0,248,716,245,0,22,0,0,26,4,1,4,9
642362,2,1,1,0,0,0,19704,1807,599,7319,350,35,49,0,0,15,761,190,1015,0,0,255,1816,487,25,0,0,520,24,4,1,4,9
642372,3,2,1,0,0,0,21831,3302,510,4649,393,0,0,0,0,45,393,130,1004,0,0,1087,1201,30,591,267,0,195,59,4,1,2,4
642392,2,1,1,0,0,0,40768,2744,6634,5981,1078,0,4,0,720,21,7970,473,1402,1301,0,2387,1533,891,160,333,0,0,70,6,1,2,1
642402,3,1,1,0,0,1,49079,4330,750,19417,528,600,74,1600,0,0,1862,134,1089,0,0,410,1380,220,487,103,0,0,31,5,1,1,2
642412,3,2,1,0,0,0,12766,3018,29,109,280,0,0,0,0,0,38,8,257,0,0,1589,59,22,0,210,0,130,77,2,1,2,4
642422,5,1,1,2,1,0,13030,3250,330,3871,586,0,61,949,0,25,544,8,370,0,0,0,1272,0,581,77,0,0,28,2,1,1,9
642462,1,0,1,0,0,0,8841,1476,85,1513,565,0,68,210,0,0,258,45,779,0,0,2044,0,0,0,10,0,273,74,5,1,4,8
642472,1,1,0,0,0,0,17943,982,1415,3297,44,13,40,0,0,80,844,130,540,500,3,422,854,472,141,77,0,0,24,5,1,4,8
642502,1,0,1,0,0,0,6214,1365,345,1502,332,54,84,86,0,0,474,105,405,0,0,1024,0,0,0,0,0,234,73,1,1,4,8
642512,1,1,0,0,0,0,21114,1508,1245,3593,445,30,0,0,50,0,190,0,406,0,0,1856,80,0,80,108,0,0,66,2,1,2,8
642522,1,0,1,0,0,0,7898,1862,330,1440,297,0,15,0,0,65,130,0,630,0,0,1782,297,0,0,20,0,0,70,1,1,2,8
642552,4,1,1,1,1,0,30707,4885,1718,4542,350,0,101,0,0,0,1012,284,1951,800,0,1872,1871,877,0,95,270,0,44,4,1,2,3
642562,3,2,1,0,0,0,69698,6114,3554,15618,2056,0,370,250,0,148,7220,265,3115,0,0,1841,1805,487,726,146,0,936,45,5,1,1,9
642572,4,2,1,1,0,0,70155,5799,2180,6096,583,0,40,36,0,9,2459,122,4165,0,70,2027,5777,33,1605,1,2455,1209,42,3,1,1,4
642592,5,1,1,2,1,0,15032,4160,80,3584,460,0,0,0,0,6,1330,205,865,0,0,225,374,0,50,0,0,0,37,1,1,1,3
642602,4,1,1,2,0,0,55858,5355,2404,7141,968,4093,249,0,524,65,2816,328,1586,0,0,1139,2906,876,220,108,541,0,31,3,1,1,3
642632,2,1,1,0,0,0,31747,3816,2483,6302,1191,0,25,230,179,175,1562,290,1069,0,0,1221,1729,340,347,130,42,0,30,4,1,1,1
642652,2,1,1,0,0,0,11562,3039,150,1200,196,200,150,0,0,131,532,346,810,0,0,3461,0,0,0,17,0,13,78,1,2,2,1
642672,1,1,0,0,0,0,12390,2102,120,6600,250,0,41,0,0,112,341,72,30,0,67,543,948,0,0,237,0,676,66,1,3,4,8
642682,1,0,1,0,0,0,7016,1711,150,61,444,5,24,0,0,0,232,7,533,0,0,71,0,0,0,0,0,0,56,1,1,2,8
642702,3,1,1,0,1,0,96396,2598,3172,19643,735,5856,0,2250,0,46,4260,56,1906,2422,0,2517,5422,3752,465,587,0,0,28,5,1,1,2
642712,2,0,2,0,0,0,24614,2606,335,2839,298,0,198,7,0,405,2584,205,824,0,0,1797,928,300,206,253,0,0,49,5,1,2,9
642722,2,1,1,0,0,0,22735,2765,1080,1558,661,0,0,0,0,179,559,50,3325,3000,0,3617,1418,320,378,164,0,0,62,3,1,2,1
642752,2,1,1,0,0,0,20483,3333,1136,7261,490,133,161,0,0,54,1031,46,613,0,0,383,1350,431,32,200,18,494,45,4,1,1,9
