"hurdles" "highjump" "shot" "run200m" "longjump" "javelin" "run800m" "score"
"Scheider (SWI)" 2.57 1.86 11.58 1.74 6.05 47.5 28.5 6137
"Hagger (GB)" 2.95 1.8 12.75 1.14 6.34 35.76 24.95 5975
"Braun (FRG)" 2.71 1.83 13.16 1.83 6.12 44.58 20.61 6109
"Fleming (AUS)" 3.04 1.8 12.88 3.02 6.37 40.28 30.89 6351
"Wijnsma (HOL)" 2.67 1.86 13.01 1.58 6.34 37.86 31.94 6205
"Schulz (GDR)" 2.67 1.83 13.5 1.96 6.33 42.82 37.64 6411
"Ruotsalainen (FIN)" 2.63 1.8 12.32 2 6.08 45.44 26.37 6101
"Yuping (CHN)" 2.49 1.86 14.21 1.61 6.4 38.6 16.76 6087
"Hui-Ing (TAI)" 1.57 1.68 10 1.38 5.47 39.14 26.13 5290
"Choubenkova (URS)" 2.91 1.74 14.76 2.68 6.32 47.46 35.53 6540
"Hautenauve (BEL)" 2.38 1.77 11.81 1 5.99 35.68 29.53 5734
"John (GDR)" 3.57 1.8 16.23 2.96 6.71 42.56 37.31 6897
"Greiner (USA)" 2.87 1.8 14.13 2.13 6.47 38 29.78 6297
"Behmer (GDR)" 3.22 1.83 14.2 3.51 6.68 44.54 39.23 6858
"Sablovskaite (URS)" 2.81 1.8 15.23 2.69 6.25 42.78 31.19 6540
"Mulliner (GB)" 2.03 1.71 12.68 1.69 6.1 37.76 25.41 5746
"Dimitrova (BUL)" 3.18 1.8 12.88 3.02 6.37 40.28 30.89 6171
"Joyner-Kersee (USA)" 3.73 1.86 15.8 4.05 7.27 45.66 34.92 7291
"Geremias (BRA)" 2.19 1.71 12.95 1.11 5.5 39.64 19.41 5508
"Kytola (FIN)" 2.11 1.77 11.66 0.919999999999998 5.75 39.48 30.08 5686
"Brown (USA)" 2.35 1.83 12.69 1.78 6.13 44.34 17 5972
"Bouraga (URS)" 3.17 1.77 12.62 3.02 6.28 39.06 28.69 6252
"Lajbnerova (CZE)" 2.79 1.83 14.28 1.75 6.11 42.2 27.38 6252
"Jeong-Mi (KOR)" 1.89 1.71 10.83 0 5.5 39.26 24.26 5289

